               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0556,            0.024795,            0.034279,             0.76589,             0.64888,             0.70562,             0.41796,            0.035645,            0.011701,              0.0114,            0.083735,           0.0037113,           0.0037113
                   1,            0.042143,            0.019652,            0.010868,             0.84366,             0.77657,             0.80331,             0.34198,            0.039066,           0.0097414,           0.0048847,            0.047199,           0.0074119,           0.0074119
                   2,            0.040993,            0.017594,           0.0076973,              0.7782,             0.71712,             0.77142,             0.40093,             0.03538,            0.010894,           0.0040559,            0.011047,            0.011047,            0.011047
                   3,            0.037958,            0.016861,            0.006684,              0.8245,             0.75916,             0.80199,               0.487,            0.030105,            0.010213,           0.0038703,            0.011047,            0.011047,            0.011047
                   4,            0.033746,            0.016082,           0.0056851,             0.88869,             0.78145,              0.8463,             0.55833,            0.026483,           0.0088026,             0.00311,             0.01101,             0.01101,             0.01101
                   5,            0.031627,            0.015795,           0.0051413,             0.88175,             0.82278,             0.85596,             0.56495,            0.024998,           0.0097004,           0.0024927,            0.010973,            0.010973,            0.010973
                   6,            0.030296,            0.015264,           0.0046499,             0.89933,             0.84134,             0.87451,             0.61687,            0.023522,           0.0087716,           0.0022683,            0.010937,            0.010937,            0.010937
                   7,            0.028939,            0.014875,           0.0041236,             0.86008,             0.84296,             0.86395,             0.60501,            0.021884,           0.0078857,           0.0027398,              0.0109,              0.0109,              0.0109
                   8,            0.028124,            0.014966,           0.0040289,             0.89122,             0.85123,             0.88761,              0.6359,            0.020793,           0.0081228,            0.002139,            0.010863,            0.010863,            0.010863
                   9,            0.026623,            0.014436,           0.0037934,             0.89651,             0.85479,             0.88368,             0.63147,            0.020991,            0.008037,           0.0017976,            0.010827,            0.010827,            0.010827
                  10,            0.026021,            0.014173,           0.0035332,             0.91322,             0.82809,             0.87751,             0.62957,            0.020936,           0.0080828,           0.0024176,             0.01079,             0.01079,             0.01079
                  11,            0.025546,            0.014082,            0.003314,             0.93038,             0.87898,             0.90841,             0.65092,            0.021244,           0.0074481,           0.0017305,            0.010753,            0.010753,            0.010753
                  12,            0.024554,            0.013956,           0.0030646,             0.93677,             0.86505,             0.90768,             0.66208,            0.018614,           0.0077643,           0.0013624,            0.010717,            0.010717,            0.010717
                  13,            0.024392,             0.01364,           0.0029892,             0.93053,             0.83801,             0.90143,             0.66929,            0.018373,           0.0078574,             0.00151,             0.01068,             0.01068,             0.01068
                  14,            0.023646,            0.013369,           0.0027069,             0.92004,             0.87114,             0.89926,             0.68182,            0.018466,           0.0075663,           0.0013882,            0.010643,            0.010643,            0.010643
                  15,            0.023096,            0.013379,           0.0026555,             0.92212,             0.86048,             0.90504,             0.68992,            0.017192,           0.0075579,            0.001269,            0.010606,            0.010606,            0.010606
                  16,            0.022399,            0.013045,           0.0027199,             0.94191,             0.87829,             0.91604,             0.71786,            0.015868,           0.0072713,           0.0012861,             0.01057,             0.01057,             0.01057
                  17,            0.022091,            0.013081,           0.0025134,             0.93588,             0.85881,             0.90412,             0.70079,            0.016362,           0.0072294,            0.001209,            0.010533,            0.010533,            0.010533
                  18,            0.021886,            0.012866,           0.0025383,             0.92122,             0.88278,             0.90316,             0.70386,             0.01614,           0.0077343,            0.001162,            0.010496,            0.010496,            0.010496
                  19,            0.021166,            0.012729,            0.002259,             0.90307,             0.88068,             0.90901,             0.71685,            0.016353,           0.0073546,           0.0011437,             0.01046,             0.01046,             0.01046
                  20,            0.021251,            0.012694,           0.0021962,             0.92854,             0.88714,             0.92149,             0.73099,            0.015409,           0.0071815,           0.0010993,            0.010423,            0.010423,            0.010423
                  21,            0.020678,            0.012429,            0.002144,             0.91696,             0.89355,             0.91689,             0.71963,            0.015628,           0.0072287,           0.0010169,            0.010386,            0.010386,            0.010386
                  22,            0.020309,            0.012413,           0.0021175,             0.93116,             0.89556,             0.92267,             0.73794,            0.014771,           0.0072106,           0.0010164,             0.01035,             0.01035,             0.01035
                  23,            0.019981,            0.012366,           0.0021577,              0.9268,             0.89175,             0.91674,              0.7317,            0.015118,           0.0069645,          0.00096215,            0.010313,            0.010313,            0.010313
                  24,            0.020033,            0.012269,            0.002031,               0.935,             0.89126,             0.92116,             0.74146,            0.014376,           0.0070284,           0.0010456,            0.010276,            0.010276,            0.010276
                  25,            0.019869,            0.012193,           0.0019376,             0.95409,              0.8834,             0.92472,             0.74919,            0.014722,           0.0068919,          0.00094532,             0.01024,             0.01024,             0.01024
                  26,             0.01927,            0.011959,           0.0018877,             0.93943,             0.90166,             0.92499,             0.75932,            0.013724,            0.006936,          0.00093437,            0.010203,            0.010203,            0.010203
                  27,            0.019286,            0.011738,            0.001912,             0.92826,             0.90715,             0.92902,              0.7601,            0.013892,           0.0070348,          0.00086421,            0.010166,            0.010166,            0.010166
                  28,            0.019186,            0.011791,           0.0017855,             0.93288,             0.91216,             0.93408,             0.76377,            0.013714,           0.0068681,          0.00086565,             0.01013,             0.01013,             0.01013
                  29,            0.018691,            0.011738,           0.0017035,             0.93318,             0.90704,             0.93002,             0.75882,            0.014249,           0.0066781,          0.00086582,            0.010093,            0.010093,            0.010093
                  30,            0.018458,            0.011641,           0.0017396,             0.93095,              0.9025,              0.9383,             0.75932,            0.014152,           0.0066515,          0.00081076,            0.010056,            0.010056,            0.010056
                  31,            0.018285,            0.011693,           0.0017333,             0.92083,             0.90729,             0.93019,             0.76761,            0.013527,           0.0063755,            0.000795,             0.01002,             0.01002,             0.01002
                  32,            0.018162,            0.011478,           0.0015799,             0.95161,             0.91184,             0.93724,             0.77456,            0.013047,           0.0065138,          0.00084346,           0.0099829,           0.0099829,           0.0099829
                  33,             0.01801,            0.011418,            0.001569,             0.94481,             0.92039,              0.9388,             0.77309,            0.013083,           0.0063847,          0.00075747,           0.0099462,           0.0099462,           0.0099462
                  34,            0.017825,             0.01131,           0.0015331,             0.94313,             0.91153,             0.93468,             0.77021,            0.013359,           0.0064474,          0.00077454,           0.0099095,           0.0099095,           0.0099095
                  35,            0.017418,            0.011276,           0.0014607,             0.94172,             0.92214,               0.943,             0.77898,            0.013282,           0.0062299,          0.00071584,           0.0098728,           0.0098728,           0.0098728
                  36,            0.017483,            0.011053,           0.0014916,             0.94274,             0.91594,             0.94005,             0.78515,            0.013145,           0.0063556,          0.00077916,           0.0098362,           0.0098362,           0.0098362
                  37,            0.017412,            0.011097,           0.0014023,             0.94869,             0.91409,              0.9365,             0.78647,            0.012234,           0.0068226,          0.00072668,           0.0097995,           0.0097995,           0.0097995
                  38,            0.017378,            0.011144,           0.0015164,             0.93394,             0.91601,             0.93264,             0.78894,            0.012327,           0.0062632,          0.00072438,           0.0097628,           0.0097628,           0.0097628
                  39,            0.017183,            0.011082,           0.0014193,             0.95576,             0.91383,             0.93865,             0.78283,            0.012839,           0.0062883,          0.00073611,           0.0097261,           0.0097261,           0.0097261
                  40,            0.017103,            0.010988,           0.0014625,             0.93878,             0.91874,              0.9392,              0.7788,            0.012665,           0.0062742,          0.00067417,           0.0096894,           0.0096894,           0.0096894
                  41,            0.016744,            0.011144,            0.001369,             0.93968,             0.92197,             0.94169,             0.78799,            0.012416,           0.0060617,           0.0006747,           0.0096528,           0.0096528,           0.0096528
                  42,            0.016907,            0.010795,            0.001375,             0.95163,             0.91229,             0.94223,             0.79154,            0.012659,           0.0060751,          0.00068085,           0.0096161,           0.0096161,           0.0096161
                  43,             0.01639,            0.011025,           0.0013546,             0.95601,             0.92163,             0.94621,             0.80106,            0.012315,           0.0060137,          0.00065483,           0.0095794,           0.0095794,           0.0095794
                  44,            0.016495,            0.010775,           0.0013453,             0.95136,             0.91499,             0.94483,              0.8046,            0.012155,           0.0060383,          0.00065589,           0.0095427,           0.0095427,           0.0095427
                  45,            0.016394,            0.010901,           0.0013267,             0.95463,                0.92,              0.9428,              0.8022,            0.012031,           0.0060851,           0.0006283,            0.009506,            0.009506,            0.009506
                  46,            0.016374,            0.010669,             0.00133,             0.95183,             0.92676,             0.94302,             0.79716,            0.012184,            0.005959,          0.00064864,           0.0094693,           0.0094693,           0.0094693
                  47,            0.015904,            0.010719,            0.001361,             0.94865,             0.92129,             0.94431,             0.79966,            0.011814,           0.0061346,          0.00061988,           0.0094327,           0.0094327,           0.0094327
                  48,            0.016077,            0.010441,           0.0012001,             0.94102,             0.93588,             0.94958,             0.81354,            0.011464,           0.0059365,          0.00061575,            0.009396,            0.009396,            0.009396
                  49,            0.015894,            0.010541,           0.0012499,             0.95286,              0.9231,             0.94512,             0.81358,            0.011497,           0.0059458,          0.00060503,           0.0093593,           0.0093593,           0.0093593
                  50,            0.015856,            0.010633,           0.0012159,             0.95841,             0.92115,             0.94733,              0.8099,            0.011945,           0.0057928,          0.00060634,           0.0093226,           0.0093226,           0.0093226
                  51,            0.015827,            0.010413,           0.0012668,             0.95772,              0.9227,             0.94837,             0.81108,             0.01152,           0.0059041,          0.00059882,           0.0092859,           0.0092859,           0.0092859
                  52,            0.015693,            0.010492,           0.0011742,             0.94464,             0.92829,             0.94796,             0.81196,            0.011509,           0.0056927,          0.00057872,           0.0092493,           0.0092493,           0.0092493
                  53,            0.015586,            0.010455,           0.0011686,             0.95899,             0.93113,             0.95437,             0.81418,            0.011479,           0.0056874,          0.00058042,           0.0092126,           0.0092126,           0.0092126
                  54,            0.015262,           0.0099898,           0.0011582,             0.95047,              0.9253,             0.94871,             0.81038,            0.011265,           0.0056474,          0.00058319,           0.0091759,           0.0091759,           0.0091759
                  55,            0.015152,            0.010173,            0.001152,             0.94969,             0.93332,             0.94863,             0.81867,            0.011341,              0.0057,          0.00056101,           0.0091392,           0.0091392,           0.0091392
                  56,            0.015203,            0.010462,           0.0012259,             0.95745,             0.93346,             0.95102,             0.81493,            0.011335,           0.0055333,          0.00054179,           0.0091025,           0.0091025,           0.0091025
                  57,            0.015169,            0.010335,            0.001212,             0.95451,             0.93241,             0.95344,             0.82334,            0.011026,           0.0054611,          0.00055619,           0.0090659,           0.0090659,           0.0090659
                  58,            0.015225,            0.010268,           0.0011238,             0.95803,             0.93198,             0.95353,             0.82282,            0.011018,           0.0055173,          0.00054557,           0.0090292,           0.0090292,           0.0090292
                  59,            0.015185,            0.010094,           0.0011298,             0.96044,             0.92999,             0.95074,             0.82099,            0.011037,           0.0055955,          0.00053924,           0.0089925,           0.0089925,           0.0089925
                  60,             0.01514,            0.010185,            0.001203,             0.95461,             0.93342,              0.9501,             0.81302,            0.011035,           0.0056876,          0.00054584,           0.0089558,           0.0089558,           0.0089558
                  61,            0.014696,            0.010145,           0.0011126,             0.95227,             0.93832,             0.95407,              0.8185,            0.010961,           0.0055627,          0.00051766,           0.0089191,           0.0089191,           0.0089191
                  62,            0.014861,           0.0099454,           0.0010299,             0.96069,             0.93403,             0.95336,             0.81633,            0.010989,           0.0055318,           0.0005122,           0.0088824,           0.0088824,           0.0088824
                  63,            0.014651,            0.009851,           0.0010895,             0.95901,             0.93324,             0.95455,             0.82119,            0.010743,           0.0053829,          0.00050933,           0.0088458,           0.0088458,           0.0088458
                  64,            0.014498,           0.0098151,           0.0010139,             0.95732,             0.93882,             0.95442,             0.83117,             0.01067,           0.0054609,          0.00050678,           0.0088091,           0.0088091,           0.0088091
                  65,            0.014583,            0.010022,           0.0010636,             0.95196,             0.93769,             0.95299,              0.8308,            0.010657,           0.0054677,          0.00049274,           0.0087724,           0.0087724,           0.0087724
                  66,            0.014672,           0.0098782,           0.0010215,             0.95805,             0.93556,             0.95315,             0.82327,            0.010791,           0.0054996,           0.0004907,           0.0087357,           0.0087357,           0.0087357
                  67,             0.01436,           0.0099791,          0.00096423,             0.96029,             0.93489,             0.95401,             0.83243,             0.01054,           0.0054929,          0.00047255,            0.008699,            0.008699,            0.008699
                  68,            0.014381,           0.0098597,           0.0010353,             0.95385,             0.93878,             0.95375,             0.83448,            0.010456,            0.005523,          0.00045979,           0.0086624,           0.0086624,           0.0086624
                  69,            0.014262,           0.0097321,           0.0010076,              0.9539,             0.93005,             0.95277,             0.82681,            0.010451,           0.0055538,          0.00046018,           0.0086257,           0.0086257,           0.0086257
                  70,            0.014281,           0.0096943,           0.0010191,              0.9595,             0.93882,              0.9549,             0.82662,            0.010632,           0.0054322,          0.00045308,            0.008589,            0.008589,            0.008589
                  71,            0.014235,            0.009785,           0.0010394,             0.96055,             0.93803,             0.95338,             0.82955,            0.010562,            0.005397,          0.00044965,           0.0085523,           0.0085523,           0.0085523
                  72,            0.014051,            0.009654,           0.0010047,             0.97177,             0.93067,             0.95428,             0.83059,            0.010533,           0.0053631,          0.00044293,           0.0085156,           0.0085156,           0.0085156
                  73,            0.014001,           0.0095137,          0.00097164,             0.96445,             0.93369,             0.95491,             0.83946,            0.010247,           0.0054181,          0.00043609,            0.008479,            0.008479,            0.008479
                  74,            0.013977,           0.0095506,          0.00094816,             0.96133,             0.93285,              0.9541,             0.83744,            0.010205,           0.0053304,          0.00043877,           0.0084423,           0.0084423,           0.0084423
                  75,            0.013934,           0.0095662,          0.00096887,             0.96897,             0.92786,             0.95436,              0.8373,            0.010092,           0.0052342,          0.00044513,           0.0084056,           0.0084056,           0.0084056
                  76,            0.013781,           0.0096366,          0.00088099,              0.9608,             0.93687,             0.95555,             0.83999,            0.010108,           0.0052266,          0.00043645,           0.0083689,           0.0083689,           0.0083689
                  77,            0.013456,           0.0093664,          0.00088454,             0.95836,             0.93626,             0.95472,             0.83912,            0.010166,           0.0052373,          0.00042669,           0.0083322,           0.0083322,           0.0083322
                  78,            0.013675,           0.0092764,          0.00089029,             0.95562,             0.93446,             0.95328,               0.839,            0.010106,           0.0052678,          0.00041518,           0.0082955,           0.0082955,           0.0082955
                  79,            0.013797,           0.0095088,          0.00094968,             0.96938,             0.93101,             0.95494,             0.83783,            0.010081,           0.0052647,          0.00041798,           0.0082589,           0.0082589,           0.0082589
                  80,            0.013545,           0.0092563,          0.00092564,             0.97222,             0.92882,             0.95506,             0.84665,            0.010033,           0.0052508,          0.00040827,           0.0082222,           0.0082222,           0.0082222
                  81,            0.013418,           0.0093087,          0.00087152,             0.96729,             0.93216,             0.95357,             0.84182,            0.010025,           0.0052495,          0.00039984,           0.0081855,           0.0081855,           0.0081855
                  82,            0.013542,           0.0094017,          0.00088119,             0.97231,             0.92905,             0.95298,             0.84185,            0.010026,           0.0052253,           0.0003974,           0.0081488,           0.0081488,           0.0081488
                  83,            0.013359,           0.0093505,          0.00087112,             0.96732,             0.93025,             0.95282,             0.84474,           0.0099278,           0.0051967,          0.00039144,           0.0081121,           0.0081121,           0.0081121
                  84,             0.01352,           0.0091629,          0.00087289,             0.96039,             0.93571,             0.95341,             0.85047,           0.0098276,           0.0051785,          0.00038539,           0.0080755,           0.0080755,           0.0080755
                  85,            0.013321,           0.0093461,          0.00089169,             0.96193,             0.93628,             0.95356,             0.85095,           0.0097899,           0.0051792,          0.00037954,           0.0080388,           0.0080388,           0.0080388
                  86,            0.013092,            0.009146,           0.0008037,             0.96677,             0.93336,             0.95321,             0.84889,           0.0097964,            0.005174,          0.00036752,           0.0080021,           0.0080021,           0.0080021
                  87,            0.013243,           0.0091375,          0.00087913,             0.96274,             0.93496,             0.95323,             0.85094,           0.0097157,            0.005174,          0.00036389,           0.0079654,           0.0079654,           0.0079654
                  88,            0.012875,            0.009134,          0.00086966,             0.96207,             0.93498,             0.95412,             0.85295,           0.0097765,            0.005116,          0.00035517,           0.0079287,           0.0079287,           0.0079287
                  89,            0.013002,            0.009074,          0.00085457,             0.95636,             0.93809,             0.95385,             0.85333,           0.0097499,           0.0051023,          0.00034683,           0.0078921,           0.0078921,           0.0078921
                  90,            0.013067,           0.0090589,          0.00088215,             0.95929,             0.93637,              0.9531,             0.85546,            0.009713,           0.0050872,          0.00034434,           0.0078554,           0.0078554,           0.0078554
                  91,            0.013058,           0.0090387,          0.00083592,             0.95559,             0.93694,             0.95235,             0.85624,           0.0096417,           0.0050982,          0.00034258,           0.0078187,           0.0078187,           0.0078187
                  92,            0.012932,            0.008939,          0.00079599,             0.95344,             0.93716,             0.95207,             0.85743,           0.0095787,           0.0051076,          0.00033887,            0.007782,            0.007782,            0.007782
                  93,            0.012866,           0.0090148,           0.0008098,             0.95543,             0.93779,             0.95298,             0.86043,            0.009532,            0.005105,          0.00033372,           0.0077453,           0.0077453,           0.0077453
                  94,            0.012926,           0.0091609,          0.00080406,             0.95911,             0.93701,             0.95393,             0.85815,           0.0095356,           0.0051241,          0.00033286,           0.0077087,           0.0077087,           0.0077087
                  95,            0.012733,           0.0089872,          0.00086229,             0.96574,             0.93547,             0.95393,             0.85813,           0.0095276,           0.0051249,          0.00033115,            0.007672,            0.007672,            0.007672
                  96,            0.012689,           0.0089131,          0.00080077,             0.96951,             0.93212,             0.95481,             0.85957,           0.0094947,           0.0051047,          0.00032864,           0.0076353,           0.0076353,           0.0076353
                  97,            0.012682,           0.0088846,          0.00080455,             0.95279,              0.9408,             0.95526,             0.86115,           0.0094821,           0.0051037,          0.00032504,           0.0075986,           0.0075986,           0.0075986
                  98,            0.012575,           0.0088777,          0.00081184,              0.9561,             0.94113,             0.95601,             0.86141,           0.0094113,           0.0050948,          0.00032197,           0.0075619,           0.0075619,           0.0075619
